Ping: 00:06:66:4D:F4:AE from 00:15:83:0C:BF:EB (data size 44) ...
4 bytes from 00:06:66:4D:F4:AE id 0 time 32.91ms
4 bytes from 00:06:66:4D:F4:AE id 1 time 26.85ms
4 bytes from 00:06:66:4D:F4:AE id 2 time 29.90ms
4 bytes from 00:06:66:4D:F4:AE id 3 time 30.86ms
4 bytes from 00:06:66:4D:F4:AE id 4 time 29.88ms
4 bytes from 00:06:66:4D:F4:AE id 5 time 32.87ms
4 bytes from 00:06:66:4D:F4:AE id 6 time 26.88ms
4 bytes from 00:06:66:4D:F4:AE id 7 time 7.87ms
4 bytes from 00:06:66:4D:F4:AE id 8 time 30.88ms
4 bytes from 00:06:66:4D:F4:AE id 9 time 26.88ms
4 bytes from 00:06:66:4D:F4:AE id 10 time 28.87ms
4 bytes from 00:06:66:4D:F4:AE id 11 time 10.87ms
4 bytes from 00:06:66:4D:F4:AE id 12 time 23.88ms
4 bytes from 00:06:66:4D:F4:AE id 13 time 31.88ms
4 bytes from 00:06:66:4D:F4:AE id 14 time 28.88ms
4 bytes from 00:06:66:4D:F4:AE id 15 time 46.87ms
4 bytes from 00:06:66:4D:F4:AE id 16 time 29.88ms
4 bytes from 00:06:66:4D:F4:AE id 17 time 27.87ms
4 bytes from 00:06:66:4D:F4:AE id 18 time 24.89ms
4 bytes from 00:06:66:4D:F4:AE id 19 time 9.87ms
4 bytes from 00:06:66:4D:F4:AE id 20 time 28.88ms
4 bytes from 00:06:66:4D:F4:AE id 21 time 29.88ms
4 bytes from 00:06:66:4D:F4:AE id 22 time 32.88ms
4 bytes from 00:06:66:4D:F4:AE id 23 time 31.89ms
4 bytes from 00:06:66:4D:F4:AE id 24 time 23.87ms
4 bytes from 00:06:66:4D:F4:AE id 25 time 33.88ms
4 bytes from 00:06:66:4D:F4:AE id 26 time 42.87ms
4 bytes from 00:06:66:4D:F4:AE id 27 time 29.88ms
4 bytes from 00:06:66:4D:F4:AE id 28 time 29.88ms
4 bytes from 00:06:66:4D:F4:AE id 29 time 23.89ms
4 bytes from 00:06:66:4D:F4:AE id 30 time 16.87ms
4 bytes from 00:06:66:4D:F4:AE id 31 time 7.88ms
32 sent, 32 received, 0% loss
